-0.373206,0.061730,-0.022147,-0.373206,0.061730,-0.022147,-0.474214,0.078437,-0.028141,2.909949,0.168250,-6.608458,39457.400000
-1.510151,0.204669,-1.374323,-1.136945,0.142940,-1.352175,-0.414338,0.052092,-0.492775,2.909949,0.168250,-6.608458,39459.357000
-3.117592,0.553091,-1.115679,-1.607441,0.348421,0.258644,-0.450264,0.097597,0.072449,2.909949,0.168250,-6.608458,39460.183000
-5.800234,1.256203,-1.357261,-2.682642,0.703112,-0.241582,-0.445474,0.116757,-0.040117,2.909949,0.168250,-6.608458,39462.635000
-8.667437,1.643112,-1.711588,-2.867202,0.386909,-0.354328,-0.421523,0.056882,-0.052092,2.909949,0.168250,-6.608458,39463.415000
-13.152350,2.018724,-1.773256,-4.484914,0.375612,-0.061668,-0.479004,0.040117,-0.006586,2.909949,0.168250,-6.608458,39465.976000
-17.638002,2.272997,-1.584180,-4.485651,0.254274,0.189075,-0.411943,0.023351,0.017364,2.909949,0.168250,-6.608458,39467.502000
-23.851104,2.385013,-1.965031,-6.213102,0.112015,-0.380851,-0.498164,0.008981,-0.030536,2.909949,0.168250,-6.608458,39469.085000
-29.951391,3.457329,-1.925316,-6.100287,1.072316,0.039715,-0.459844,0.080832,0.002994,2.909949,0.168250,-6.608458,39469.879000
-36.191794,5.053089,-0.953596,-6.240403,1.595760,0.971720,-0.419128,0.107177,0.065264,2.909949,0.168250,-6.608458,39471.502000
-41.709981,6.215310,-1.662267,-5.518187,1.162221,-0.708671,-0.349673,0.073647,-0.044907,2.909949,0.168250,-6.608458,39472.394000
-49.257624,7.414176,-0.108954,-7.547643,1.198866,1.553313,-0.433499,0.068857,0.089214,2.909949,0.168250,-6.608458,39474.024000
-57.269693,9.406307,0.859896,-8.012068,1.992131,0.968851,-0.440684,0.109572,0.053289,2.909949,0.168250,-6.608458,39474.794000
-66.412766,10.346805,0.681321,-9.143073,0.940498,-0.178576,-0.459844,0.047302,-0.008981,2.909949,0.168250,-6.608458,39476.496000
-76.385148,10.783097,-0.652485,-9.972382,0.436292,-1.333806,-0.479004,0.020956,-0.064067,2.909949,0.168250,-6.608458,39477.432000
-85.707331,12.323847,-0.535958,-9.322182,1.540750,0.116527,-0.431104,0.071252,0.005389,2.909949,0.168250,-6.608458,39478.237000
-95.069922,14.148995,-0.912134,-9.362591,1.825148,-0.376176,-0.402363,0.078437,-0.016166,2.909949,0.168250,-6.608458,39479.882000
-106.906760,15.181635,-0.650120,-11.836838,1.032641,0.262013,-0.459844,0.040117,0.010179,2.909949,0.168250,-6.608458,39482.354000
-118.331003,17.006341,0.381235,-11.424243,1.824706,1.031355,-0.431104,0.068857,0.038919,2.909949,0.168250,-6.608458,39483.113000
