GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
127.000000,-13.000000,599.000000,255.000000,-26.000000,1199.000000,0.000000,0.000000,0.000000,0.000000,613.639145
165.000000,-17.000000,801.000000,242.000000,-24.000000,1207.000000,0.000000,0.000000,0.000000,0.000000,413.296504
187.000000,-17.000000,902.000000,255.000000,-15.000000,1207.000000,0.000000,0.000000,0.000000,0.000000,312.494800
200.000000,-17.000000,961.000000,255.000000,-13.000000,1201.000000,0.000000,0.000000,0.000000,0.000000,246.253934
208.000000,-17.000000,1002.000000,251.000000,-15.000000,1208.000000,0.000000,0.000000,0.000000,0.000000,210.449519
213.000000,-17.000000,1032.000000,247.000000,-14.000000,1213.000000,0.000000,0.000000,0.000000,0.000000,184.190119
217.000000,-17.000000,1053.000000,251.000000,-15.000000,1206.000000,0.000000,0.000000,0.000000,0.000000,156.745016
219.000000,-17.000000,1070.000000,242.000000,-16.000000,1212.000000,0.000000,0.000000,0.000000,0.000000,143.854093
221.000000,-17.000000,1083.000000,246.000000,-15.000000,1204.000000,0.000000,0.000000,0.000000,0.000000,123.571841
224.000000,-17.000000,1095.000000,254.000000,-16.000000,1215.000000,0.000000,0.000000,0.000000,0.000000,123.697211
226.000000,-17.000000,1105.000000,248.000000,-14.000000,1221.000000,0.000000,0.000000,0.000000,0.000000,118.105885
227.000000,-18.000000,1112.000000,240.000000,-25.000000,1200.000000,0.000000,0.000000,0.000000,0.000000,89.230040
228.000000,-19.000000,1118.000000,249.000000,-25.000000,1198.000000,0.000000,0.000000,0.000000,0.000000,82.927679
229.000000,-19.000000,1124.000000,250.000000,-9.000000,1213.000000,0.000000,0.000000,0.000000,0.000000,91.989130
230.000000,-18.000000,1130.000000,245.000000,-2.000000,1222.000000,0.000000,0.000000,0.000000,0.000000,94.578010
230.000000,-18.000000,1135.000000,244.000000,-18.000000,1225.000000,0.000000,0.000000,0.000000,0.000000,91.082380
229.000000,-18.000000,1138.000000,228.000000,-13.000000,1197.000000,0.000000,0.000000,0.000000,0.000000,59.219929
229.000000,-18.000000,1141.000000,237.000000,-14.000000,1205.000000,0.000000,0.000000,0.000000,0.000000,64.621978
226.000000,-18.000000,1138.000000,179.000000,0.000000,1088.000000,0.000000,0.000000,0.000000,0.000000,70.943640
219.000000,-26.000000,1166.000000,82.000000,-184.000000,1745.000000,0.000000,0.000000,0.000000,0.000000,615.608642
222.000000,-33.000000,1151.000000,297.000000,-176.000000,857.000000,0.000000,0.000000,0.000000,0.000000,335.425103
224.000000,-28.000000,1151.000000,286.000000,91.000000,1172.000000,0.000000,0.000000,0.000000,0.000000,135.816052
222.000000,-29.000000,1153.000000,196.000000,-30.000000,1215.000000,0.000000,0.000000,0.000000,0.000000,67.238382
223.000000,-31.000000,1158.000000,247.000000,-67.000000,1300.000000,0.000000,0.000000,0.000000,0.000000,148.445276
223.000000,-31.000000,1158.000000,231.000000,-19.000000,1167.000000,0.000000,0.000000,0.000000,0.000000,17.000000
224.000000,-31.000000,1161.000000,260.000000,-13.000000,1264.000000,0.000000,0.000000,0.000000,0.000000,110.584809
224.000000,-32.000000,1160.000000,242.000000,-39.000000,1159.000000,0.000000,0.000000,0.000000,0.000000,19.339080
224.000000,-32.000000,1163.000000,237.000000,-13.000000,1267.000000,0.000000,0.000000,0.000000,0.000000,106.517604
224.000000,-32.000000,1163.000000,240.000000,-17.000000,1182.000000,0.000000,0.000000,0.000000,0.000000,29.017236
224.000000,-32.000000,1165.000000,245.000000,-14.000000,1230.000000,0.000000,0.000000,0.000000,0.000000,70.639932
224.000000,-32.000000,1166.000000,241.000000,-27.000000,1221.000000,0.000000,0.000000,0.000000,0.000000,57.784081
